surah,ayah,page,word_count
2,248,40,30
2,249,41,60
2,250,41,15
2,251,41,27
2,252,41,9
2,253,42,52
2,254,42,21
2,255,42,50
2,256,42,24
2,257,43,24
2,258,43,43
2,259,43,67
2,260,44,39
2,261,44,24
2,262,44,24
2,263,44,11
2,264,44,38
2,265,45,27
2,266,45,35
2,267,45,29
2,268,45,13
2,269,45,16
2,270,46,15
2,271,46,20
2,272,46,28
2,273,46,30
2,274,46,17
2,275,47,45
2,276,47,11
2,277,47,19
2,278,47,13
2,279,47,17
2,280,47,14
2,281,47,15
2,282,48,128
2,283,49,32
2,284,49,28
2,285,49,27
2,286,49,49
3,1,50,1
3,2,50,7
3,3,50,11
3,4,50,18
3,5,50,11
3,6,50,13
3,7,50,46
3,8,50,15
3,9,50,13
3,10,51,16
3,11,51,14
3,12,51,9
3,13,51,29
3,14,51,24
3,15,51,24
3,16,52,11
3,17,52,6
3,18,52,18
3,19,52,26
3,20,52,26
3,21,52,18
3,22,52,11
3,23,53,20
3,24,53,15
3,25,53,15
3,26,53,25
3,27,53,21
3,28,53,27
3,29,53,22
3,30,54,26
3,31,54,14
3,32,54,11
3,33,54,11
3,34,54,7
3,35,54,18
3,36,54,24
3,37,54,34
3,38,55,15
3,39,55,20
3,40,55,17
3,41,55,20
3,42,55,12
3,43,55,7
3,44,55,20
3,45,55,20
3,46,56,7
3,47,56,23
3,48,56,5
3,49,56,45
3,50,56,19
3,51,56,8
3,52,56,20
3,53,57,9
3,54,57,6
3,55,57,30
3,56,57,13
3,57,57,11
3,58,57,7
3,59,57,15
3,60,57,7
3,61,57,25
3,62,58,15
3,63,58,6
3,64,58,31
3,65,58,15
3,66,58,19
3,67,58,14
3,68,58,13
3,69,58,13
3,70,58,8
3,71,59,10
3,72,59,17
3,73,59,32
3,74,59,8
3,75,59,36
3,76,59,9
3,77,59,27
3,78,60,29
3,79,60,28
3,80,60,13
3,81,60,33
3,82,60,7
3,83,60,14
3,84,61,29
3,85,61,13
3,86,61,18
3,87,61,9
3,88,61,9
3,89,61,11
3,90,61,14
3,91,61,24
3,92,62,15
3,93,62,24
3,94,62,11
3,95,62,11
3,96,62,10
3,97,62,25
3,98,62,12
3,99,62,19
3,100,62,14
3,101,63,17
3,102,63,12
3,103,63,34
3,104,63,14
3,105,63,14
3,106,63,17
3,107,63,10
3,108,63,11
3,109,64,11
3,110,64,23
3,111,64,11
3,112,64,35
3,113,64,14
3,114,64,15
3,115,64,9
3,116,65,18
3,117,65,23
3,118,65,30
3,119,65,27
3,120,65,21
3,121,65,11
3,122,66,12
3,123,66,10
3,124,66,13
3,125,66,15
3,126,66,17
3,127,66,9
3,128,66,12
3,129,66,16
3,130,66,12
3,131,66,5
3,132,66,5
3,133,67,11
3,134,67,13
3,135,67,23
3,136,67,15
3,137,67,13
3,138,67,6
3,139,67,9
3,140,67,24
3,141,68,6
3,142,68,13
3,143,68,12
3,144,68,27
3,145,68,24
3,146,68,21
3,147,68,19
3,148,68,10
3,149,69,12
3,150,69,6
3,151,69,19
3,152,69,40
3,153,69,25
3,154,70,75
3,155,70,21
3,156,70,36
3,157,70,14
3,158,71,7
3,159,71,30
3,160,71,18
3,161,71,21
3,162,71,13
3,163,71,8
3,164,71,25
3,165,71,20
3,166,72,9
3,167,72,33
3,168,72,16
3,169,72,13
3,170,72,19
3,171,72,11
3,172,72,15
3,173,72,17
3,174,73,15
3,175,73,11
3,176,73,22
3,177,73,12
3,178,73,17
3,179,73,36
3,180,73,30
3,181,74,22
3,182,74,9
3,183,74,28
3,184,74,12
3,185,74,23
3,186,74,24
3,187,75,21
3,188,75,20
3,189,75,9
3,190,75,11
3,191,75,21
3,192,75,11
3,193,75,20
3,194,75,14
3,195,76,43
3,196,76,7
3,197,76,7
3,198,76,21
3,199,76,30
3,200,76,10
4,1,77,28
4,2,77,16
4,3,77,28
4,4,77,14
4,5,77,16
4,6,77,37
4,7,78,19
4,8,78,13
4,9,78,15
4,10,78,13
4,11,78,71
4,12,79,88
4,13,79,18
4,14,79,13
4,15,80,22
4,16,80,14
4,17,80,20
4,18,80,24
4,19,80,34
4,20,81,17
4,21,81,11
4,22,81,17
4,23,81,54
4,24,82,42
4,25,82,58
4,26,82,14
4,27,83,13
4,28,83,8
4,29,83,23
4,30,83,13
4,31,83,12
4,32,83,27
4,33,83,19
4,34,84,40
4,35,84,22
4,36,84,32
4,37,84,15
4,38,85,18
4,39,85,15
4,40,85,15
4,41,85,12
4,42,85,14
4,43,85,48
4,44,85,14
4,45,86,9
4,46,86,38
4,47,86,28
4,48,86,20
4,49,86,14
4,50,86,10
4,51,86,20
4,52,87,11
4,53,87,10
4,54,87,18
4,55,87,11
4,56,87,20
4,57,87,20
4,58,87,25
4,59,87,28
4,60,88,30
4,61,88,15
4,62,88,16
4,63,88,16
4,64,88,23
4,65,88,19
4,66,89,27
4,67,89,6
4,68,89,3
4,69,89,18
4,70,89,7
4,71,89,10
4,72,89,17
4,73,89,18
4,74,89,21
4,75,90,31
4,76,90,20
4,77,90,48
4,78,90,36
4,79,90,18
4,80,91,12
4,81,91,24
4,82,91,13
4,83,91,30
4,84,91,22
4,85,91,22
4,86,91,15
4,87,92,17
4,88,92,22
4,89,92,28
4,90,92,36
4,91,92,32
4,92,93,60
4,93,93,16
4,94,93,39
4,95,94,33
4,96,94,8
4,97,94,27
4,98,94,12
4,99,94,10
4,100,94,31
4,101,94,23
4,102,95,62
4,103,95,20
4,104,95,22
4,105,95,15
4,106,96,7
4,107,96,14
4,108,96,21
4,109,96,18
4,110,96,13
4,111,96,11
4,112,96,14
4,113,96,33
4,114,97,26
4,115,97,20
4,116,97,20
4,117,97,11
4,118,97,8
4,119,97,21
4,120,97,7
4,121,97,7
4,122,98,21
4,123,98,20
4,124,98,16
4,125,98,17
4,126,98,12
4,127,98,40
4,128,99,29
4,129,99,22
4,130,99,11
4,131,99,32
4,132,99,10
4,133,99,12
4,134,99,14
4,135,100,37
4,136,100,28
4,137,100,20
4,138,100,6
4,139,100,14
4,140,100,33
4,141,101,36
4,142,101,19
4,143,101,16
4,144,101,17
